"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"DiagnosisAndNotification","DiagnosisAndNotification","DiagnosisAndNotification","","","",0,*,"","","","null {[]} {[]}
","Diagnosis and notification","Represents the collection of baseline patient data, risk factors, and the diagnostic decision, including notifications of confirmed or ruled-out cases.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"DiagnosisAndNotification","DiagnosisAndNotification.executionDate","DiagnosisAndNotification.executionDate","","","",0,1,"","","","date {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"DiagnosisAndNotification.executionDate",0,1,"",""
"DiagnosisAndNotification","DiagnosisAndNotification.historyOfPreviousTreatment","DiagnosisAndNotification.historyOfPreviousTreatment","","","",0,1,"","","","code {[]} {[]}
","TB CS - Registration - Previous treatment history","TB CS - Registration - Previous treatment history","","","","","","","","","",,"required","","http://example.org/ValueSet/tb-cs---treatment-history-vs","",,,,"DiagnosisAndNotification.historyOfPreviousTreatment",0,1,"",""
"DiagnosisAndNotification","DiagnosisAndNotification.hivInfection","DiagnosisAndNotification.hivInfection","","","",0,1,"","","","code {[]} {[]}
","TB CS - HIV infection","TB CS - HIV infection","","","","","","","","","",,"required","","http://example.org/ValueSet/gen---yes-no-unknown-vs","",,,,"DiagnosisAndNotification.hivInfection",0,1,"",""
"DiagnosisAndNotification","DiagnosisAndNotification.artStarted","DiagnosisAndNotification.artStarted","","","",0,1,"","","","code {[]} {[]}
","TB CS - ART started","TB CS - ART started","","","","","","","","","",,"required","","http://example.org/ValueSet/gen---yes-no-unknown-vs","",,,,"DiagnosisAndNotification.artStarted",0,1,"",""
"DiagnosisAndNotification","DiagnosisAndNotification.artStartDate","DiagnosisAndNotification.artStartDate","","","",0,1,"","","","date {[]} {[]}
","TB CS - ART start date","TB CS - ART start date","","","","","","","","","",,,,,"",,,,"DiagnosisAndNotification.artStartDate",0,1,"",""
"DiagnosisAndNotification","DiagnosisAndNotification.isThisATbDiagnosisDoYouWantToNotifyTheCase","DiagnosisAndNotification.isThisATbDiagnosisDoYouWantToNotifyTheCase","","","",0,1,"","","","boolean {[]} {[]}
","TB CS - Case notification","TB CS - Case notification","","","","","","","","","",,,,,"",,,,"DiagnosisAndNotification.isThisATbDiagnosisDoYouWantToNotifyTheCase",0,1,"",""
"DiagnosisAndNotification","DiagnosisAndNotification.diagnosisticNote","DiagnosisAndNotification.diagnosisticNote","","","",0,1,"","","","string {[]} {[]}
","TB CS - Diagnostic note","TB CS - Diagnostic note","","","","","","","","","",,,,,"",,,,"DiagnosisAndNotification.diagnosisticNote",0,1,"",""
"DiagnosisAndNotification","DiagnosisAndNotification.undernourishment","DiagnosisAndNotification.undernourishment","","","",0,1,"","","","code {[]} {[]}
","TB CS - Risk factor undernourishment","TB CS - Risk factor undernourishment","","","","","","","","","",,"required","","http://example.org/ValueSet/gen---yes-no-unknown-vs","",,,,"DiagnosisAndNotification.undernourishment",0,1,"",""
"DiagnosisAndNotification","DiagnosisAndNotification.dateOfDiagnosis","DiagnosisAndNotification.dateOfDiagnosis","","","",0,1,"","","","date {[]} {[]}
","TB CS - Diagnosis date","TB CS - Diagnosis date","","","","","","","","","",,,,,"",,,,"DiagnosisAndNotification.dateOfDiagnosis",0,1,"",""
